canonical_name,match_type,tiers_present,total_mentions,document_count,profiles_present,covered,excluded,unknown,phrase_count,sentence_count,parent_headers
Service provided by a nonparticipating psychiatric residential treatment facility,exact,2,13,13,ppo_medical,0,13,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Non-medical services including, but not limited to: enrichment programs, dance therapy, art therapy, music therapy, equine therapy, yoga and other movement therapies, ropes courses, guided imagery, consciousness raising, socialization therapy, social outings or preparatory courses or classes. These services may be paid as part of a treatment program but they are not payable separately.",exact,2,13,13,ppo_medical,0,13,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
A partial hospitalization program described in the PHP section of this document,exact,2,13,13,ppo_medical,0,13,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
Acute detoxification when provided in a participating hospital,exact,2,13,13,ppo_medical,13,0,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services must be medically necessary to treat the member’s condition.,exact,2,13,13,ppo_medical,13,0,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services in a residential substance abuse treatment facility must be preapproved by BCBSM.,exact,2,13,13,ppo_medical,13,0,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services must be provided by a participating substance abuse treatment facility.,exact,2,13,13,ppo_medical,13,0,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
Laboratory services,exact,2,13,13,ppo_medical,13,0,0,13,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Supplies and equipment used for subacute detoxification or rehabilitation,exact,2,13,13,ppo_medical,13,0,0,13,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Professional and trained staff and program services necessary for care and treatment of the member,exact,2,13,13,ppo_medical,13,0,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
Individual and group therapy or counseling,exact,2,13,13,ppo_medical,13,0,0,13,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Therapy and counseling for family members,exact,2,13,13,ppo_medical,13,0,0,13,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Dispensing methadone or testing of urine specimens unless the member is receiving therapy, counseling or psychological testing",exact,2,13,13,ppo_medical,0,13,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
Diversional therapy,exact,2,13,13,ppo_medical,0,13,0,13,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services provided beyond the period necessary for the member’s care and treatment,exact,2,13,13,ppo_medical,0,13,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Services provided by a qualified provider, including but not limited to a physician, fully licensed psychologist, certified nurse practitioner, clinical nurse specialist-certified, clinical licensed master’s social worker, licensed professional counselor, limited licensed psychologists, or licensed marriage and family therapist, or other professional provider as determined by BCBSM",exact,2,13,13,ppo_medical,13,0,0,0,13,Behavioral Health Services (Mental Health and Substance Use Disorder)
"For new patients, we pay for one office visit every 36 months. A new patient is one who has not received chiropractic services within the past 36 months.",exact,2,13,13,ppo_medical,13,0,0,0,13,Chiropractic Services and Osteopathic Manipulative Therapy
"For established patients, we pay for office visits. An established patient is one who has received chiropractic services within the past 36 months.",exact,2,13,13,ppo_medical,13,0,0,0,13,Chiropractic Services and Osteopathic Manipulative Therapy
A signed treatment plan is not required for the first physical medicine service your chiropractor performs on you.,exact,2,13,13,ppo_medical,13,0,0,0,13,Chiropractic Services and Osteopathic Manipulative Therapy
Participating hospitals,exact,2,13,13,ppo_medical,13,0,0,13,0,Chronic Disease Management
Physicians,exact,2,13,13,ppo_medical,13,0,0,13,0,Chronic Disease Management
Participating facilities,exact,2,13,13,ppo_medical,13,0,0,13,0,Chronic Disease Management
Certified licensed social workers,exact,2,13,13,ppo_medical,13,0,0,13,0,Chronic Disease Management
Psychologists,exact,2,13,13,ppo_medical,13,0,0,13,0,Chronic Disease Management
Physical therapists,exact,2,13,13,ppo_medical,13,0,0,13,0,Chronic Disease Management
Life-threatening condition,exact,2,13,13,ppo_medical,13,0,0,13,0,Clinical Trials (Routine Patient Costs)
Routine patient costs,exact,2,13,13,ppo_medical,13,0,0,13,0,Clinical Trials (Routine Patient Costs)
Qualified individual,exact,2,13,13,ppo_medical,13,0,0,13,0,Clinical Trials (Routine Patient Costs)
The appropriateness of a drug for your condition,exact,2,13,13,ppo_medical,13,0,0,13,0,Collaborative Care Management
The correct drug dosage,exact,2,13,13,ppo_medical,13,0,0,13,0,Collaborative Care Management
The right time to take the drug,exact,2,13,13,ppo_medical,13,0,0,13,0,Collaborative Care Management
Bleeding or clotting abnormalities,exact,2,13,13,ppo_medical,13,0,0,13,0,Dental Services
Unstable angina,exact,2,13,13,ppo_medical,13,0,0,13,0,Dental Services
Severe respiratory disease,exact,2,13,13,ppo_medical,13,0,0,13,0,Dental Services
"Known reaction to analgesics, anesthetics, etc.",exact,2,13,13,ppo_medical,13,0,0,13,0,Dental Services
Thyroid function,exact,2,13,13,ppo_medical,13,0,0,13,0,Diagnostic Services
Electrocardiogram (EKG),exact,2,13,13,ppo_medical,13,0,0,13,0,Diagnostic Services
Electroencephalogram (EEG),exact,2,13,13,ppo_medical,13,0,0,13,0,Diagnostic Services
Pulmonary function studies,exact,2,13,13,ppo_medical,13,0,0,13,0,Diagnostic Services
Electromyogram (EMG),exact,2,13,13,ppo_medical,13,0,0,13,0,Diagnostic Services
Nerve conduction,exact,2,13,13,ppo_medical,13,0,0,13,0,Diagnostic Services
We pay for standard office lab tests in your physician’s office. Other lab tests must be sent to a laboratory.,exact,2,13,13,ppo_medical,13,0,0,0,13,Diagnostic Services
You will need to pay the out-of-network cost-share if tests are done by an out-of-network lab or in an out-of-network hospital.,exact,2,13,13,ppo_medical,13,0,0,0,13,Diagnostic Services
"The treatment must be arranged by the member’s physician and the physician director, or a committee of staff physicians of a self-dialysis training program",exact,2,13,13,ppo_medical,0,13,0,0,13,Dialysis Services
The owner of the member’s home must give the hospital prior written permission to install the equipment.,exact,2,13,13,ppo_medical,0,13,0,0,13,Dialysis Services
Continuous ambulatory peritoneal dialysis and self-dialysis training with the number of training sessions limited according to Medicare guidelines,exact,2,13,13,ppo_medical,13,0,0,0,13,Dialysis Services
Placement and maintenance of a dialysis machine in the member’s home,exact,2,13,13,ppo_medical,13,0,0,0,13,Dialysis Services
A participating hospital (when you are discharged),exact,2,13,13,ppo_medical,13,0,0,13,0,Durable Medical Equipment
A DME supplier,exact,2,13,13,ppo_medical,13,0,0,13,0,Durable Medical Equipment
Short-term general inpatient care when the member is admitted for pain control or to manage symptoms. (These services are payable if they meet the plan of care established for the member.),exact,2,13,13,ppo_medical,13,0,0,0,13,Hospice Care Services
Other than those furnished by the hospice program.,exact,2,13,13,ppo_medical,0,13,0,0,13,Hospice Care Services
"Drugs required for infusion therapy. Since specialty pharmaceuticals may be used in infusion therapy, please see the Prior Authorization for Specialty Pharmaceuticals requirement described on",exact,2,13,13,ppo_medical,13,0,0,0,13,Infusion Therapy
Medically necessary genetic testing,exact,2,13,13,ppo_medical,13,0,0,13,0,Maternity Care
Vaginal delivery or cesarean section when provided in,exact,2,13,13,ppo_medical,13,0,0,0,13,Maternity Care
A participating hospital setting,exact,2,13,13,ppo_medical,13,0,0,13,0,Maternity Care
"A hospital-affiliated birthing center that is owned and operated by a participating state- licensed and accredited hospital, as defined by BCBSM",exact,2,13,13,ppo_medical,13,0,0,0,13,Maternity Care
A member’s home,exact,2,13,13,ppo_medical,13,0,0,13,0,Maternity Care
Lactation education and alternative fertility awareness counseling,exact,2,13,13,ppo_medical,13,0,0,13,0,Maternity Care
Ostomy sets and accessories,exact,2,13,13,ppo_medical,13,0,0,13,0,Medical Supplies
The exam must be given by a physician other than the anesthesiologist or the birth parent’s attending physician.,exact,2,13,13,ppo_medical,13,0,0,0,13,Newborn Care
A combined maximum of 30 habilitative and a combined maximum of 30 rehabilitative outpatient visits per member per year.,exact,2,13,13,ppo_medical,13,0,0,0,13,Occupational Therapy
Services received from an independent sports medicine clinic,exact,2,13,13,ppo_medical,0,13,0,0,13,Occupational Therapy
Part of a comprehensive rehabilitation plan,exact,2,13,13,ppo_medical,0,13,0,13,0,Occupational Therapy
Services that are not medically necessary (see Section 7 for the definition of “medically necessary”),exact,2,13,13,ppo_medical,0,13,0,0,13,Oncology Clinical Trials
"If you get services from an optometrist who does not participate in BCBSM’s vision program, they will be treated as services of a nonparticipating provider.",exact,2,13,13,ppo_medical,13,0,0,0,13,Optometrist Services
Services and medical supplies to treat and control diabetes when prescribed by a physician or other professional provider licensed to prescribe it. Services and supplies include,exact,2,13,13,ppo_medical,13,0,0,0,13,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
"Part of a comprehensive rehabilitation plan, and",exact,2,13,13,ppo_medical,0,13,0,13,0,Physical Therapy
Select diabetic supplies and devices when prescribed by a physician or other professional provider licensed to prescribe it. Select diabetic supplies and devices include,exact,2,13,13,ppo_medical,13,0,0,0,13,Prescription Drugs
“Preferred” devices will be covered at 100% of our approved amount. “Nonpreferred” devices will be subject to your nonpreferred brand-name drugs cost-share requirement.,exact,2,13,13,ppo_medical,13,0,0,0,13,Prescription Drugs
Covered Drugs Obtained from an Out-of-Network Pharmacy,exact,2,13,13,ppo_medical,13,0,0,13,0,Prescription Drugs
Payment for non-covered specialty drugs or services.,exact,2,13,7,ppo_medical,0,13,0,0,13,Prescription Drugs
Routine Flexible Sigmoidoscopy Examination,exact,2,13,13,ppo_medical,13,0,0,13,0,Preventive Care Services
A change in the patient's condition,exact,2,13,13,ppo_medical,13,0,0,13,0,Prosthetic and Orthotic Devices
Damage to the device so that it cannot be restored,exact,2,13,13,ppo_medical,13,0,0,13,0,Prosthetic and Orthotic Devices
Loss of the device,exact,2,13,13,ppo_medical,13,0,0,13,0,Prosthetic and Orthotic Devices
The member’s physician provides a written confirmation indicating that skilled care is needed.,exact,2,13,13,ppo_medical,13,0,0,0,13,Skilled Nursing Facility Services
"Treatment solely to improve cognition (e.g., memory or perception), concentration and/or attentiveness, organizational or problem-solving skills, academic skills, impulse control or other behaviors for which behavior modification is sought without a speech language therapy treatment plan that guides and helps to monitor the provided therapy",exact,2,13,13,ppo_medical,0,13,0,0,13,Speech Language Therapy
24/7 Virtual Visit,exact,3,13,13,ppo_medical,0,0,13,0,13,
Acupuncture,exact,3,13,13,ppo_medical,0,0,13,0,13,
Acute Care Facility,exact,3,13,13,ppo_medical,0,0,13,0,13,
Administrative Costs,exact,3,13,13,ppo_medical,0,0,13,0,13,
Affiliate Cancer Center,exact,3,13,13,ppo_medical,0,0,13,0,13,
Air Ambulance,exact,3,13,13,ppo_medical,0,0,13,13,0,Ambulance Services
Alternative Medicines,exact,3,13,13,ppo_medical,0,0,13,0,13,
Ambulatory Surgery,exact,3,13,13,ppo_medical,0,0,13,0,13,
Arthrocentesis,exact,3,13,13,ppo_medical,0,0,13,0,13,
Attending Physician,exact,3,13,13,ppo_medical,0,0,13,0,13,
Audiologist,exact,3,13,13,ppo_medical,0,0,13,0,13,
Autism Spectrum Disorder Services,exact,3,13,13,ppo_medical,0,0,13,0,13,
Benefit Period,exact,3,13,13,ppo_medical,0,0,13,0,13,
Biological,exact,3,13,13,ppo_medical,0,0,13,0,13,
Blue Cross Plan,exact,3,13,13,ppo_medical,0,0,13,0,13,
Blue Shield Plan,exact,3,13,13,ppo_medical,0,0,13,0,13,
Carrier,exact,3,13,13,ppo_medical,0,0,13,0,13,
Case Management,exact,3,13,13,ppo_medical,0,0,13,0,13,
Certified Registered Nurse Anesthetist,exact,3,13,13,ppo_medical,0,0,13,0,13,
Chiropractic Services,exact,3,13,13,ppo_medical,0,0,13,13,0,Chemotherapy
Chronic Condition,exact,3,13,13,ppo_medical,0,0,13,0,13,
Clinical Licensed Master’s Social Worker,exact,3,13,13,ppo_medical,0,0,13,0,13,
Colony Stimulating Growth Factors,exact,3,13,13,ppo_medical,0,0,13,0,13,
Congenital Condition,exact,3,13,13,ppo_medical,0,0,13,0,13,
Continuity of Care,exact,3,13,13,ppo_medical,0,0,13,0,13,
"Survey, including history, physical exam, and diagnostic laboratory studies",exact,2,12,12,ppo_medical,12,0,0,12,0,Allergy Testing and Therapy
"Intradermal, scratch and puncture tests",exact,2,12,12,ppo_medical,12,0,0,12,0,Allergy Testing and Therapy
Patch and photo tests,exact,2,12,12,ppo_medical,12,0,0,12,0,Allergy Testing and Therapy
Double-blind food challenge test and bronchial challenge test,exact,2,12,12,ppo_medical,12,0,0,12,0,Allergy Testing and Therapy
Allergy immunotherapy by injection (allergy shots),exact,2,12,12,ppo_medical,12,0,0,12,0,Allergy Testing and Therapy
"Injections of antiallergen, antihistamine, bronchodilator or antispasmodic agents",exact,2,12,12,ppo_medical,12,0,0,12,0,Allergy Testing and Therapy
Behavioral Health Treatment (BHT) – Evidence-based counseling is part of BHT. A licensed psychologist must perform or supervise this treatment. The psychologist must have adequate formal university training and supervised experience in BHT.,exact,2,12,12,ppo_medical,12,0,0,0,12,Autism Spectrum Disorders
Psychological care – It includes a psychologist’s direct or consulting services. The psychologist must be licensed in the state of practice.,exact,2,12,12,ppo_medical,12,0,0,0,12,Autism Spectrum Disorders
Therapeutic care – Evidence-based services from licensed providers. It includes,exact,2,12,12,ppo_medical,12,0,0,12,0,Autism Spectrum Disorders
Nutritional therapy,exact,2,12,12,ppo_medical,12,0,0,12,0,Autism Spectrum Disorders
Psychiatric Intensive Outpatient Program (IOP),exact,2,12,12,ppo_medical,0,12,0,12,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services to treat temporomandibular joint dysfunction (TMJ) limited to those described below,exact,2,12,12,ppo_medical,12,0,0,0,12,Dental Services
"Postnatal care, including a Papanicolaou (Pap) smear during the six-week visit.",exact,2,12,12,ppo_medical,12,0,0,0,12,Maternity Care
Newborn services provided during the first 48 or 96 hours if the newborn has not been added to the BCBSM contract of the birth parent. These services include,exact,2,12,12,ppo_medical,12,0,0,0,12,Maternity Care
"Services to treat a newborn’s injury, sickness, congenital defects or birth abnormalities",exact,2,12,12,ppo_medical,12,0,0,0,12,Maternity Care
Purging or positive stem cell selection of bone marrow or peripheral blood stem cells,exact,2,12,12,ppo_medical,12,0,0,0,12,Oncology Clinical Trials
Harvesting and storage (both covered even if it is not covered by the donor’s insurance) of the donor’s,exact,2,12,12,ppo_medical,12,0,0,0,12,Oncology Clinical Trials
$60 per day for travel,exact,2,12,12,ppo_medical,12,0,0,12,0,Oncology Clinical Trials
$50 per day for lodging,exact,2,12,12,ppo_medical,12,0,0,12,0,Oncology Clinical Trials
Licensed in the state of Michigan,exact,2,12,12,ppo_medical,12,0,0,12,0,Optometrist Services
Certified by the Michigan Board of Optometry to administer and prescribe therapeutic pharmaceutical agents,exact,2,12,12,ppo_medical,12,0,0,0,12,Optometrist Services
Self-management training is considered medically necessary upon diagnosis by an M.D. or D.O.,exact,2,12,12,ppo_medical,12,0,0,0,12,Outpatient Diabetes Management Program (ODMP)
Your M.D. or D.O. diagnoses a significant change with long-term implications in your symptoms or conditions that necessitate changes in your self-management or a significant change in medical protocol or treatment.,exact,2,12,12,ppo_medical,12,0,0,0,12,Outpatient Diabetes Management Program (ODMP)
A combined maximum of 30 habilitative and a combined maximum of 30 rehabilitative outpatient visits per member per calendar year.,exact,2,12,12,ppo_medical,12,0,0,0,12,Occupational Therapy | Physical Therapy
Diabetic supplies will be subject to your preferred brand-name drug and/or nonpreferred brand- name drugs cost-share requirement.,exact,2,12,12,ppo_medical,12,0,0,0,12,Prescription Drugs
"One per member, per calendar year",exact,2,12,12,ppo_medical,12,0,0,12,0,Preventive Care Services
"Two visits per member, per calendar year",exact,2,12,12,ppo_medical,12,0,0,12,0,Preventive Care Services
"Screening, counseling and prescription drugs to help you stop smoking",exact,2,12,12,ppo_medical,12,0,0,12,0,Preventive Care Services
"Voluntary sterilization of female reproductive organs including tubal ligation and related charges associated with the procedure (anesthesia, labs, etc.).",exact,2,12,12,ppo_medical,12,0,0,0,12,Preventive Care Services
Depo-Provera and Intrauterine Devices (IUD),exact,2,12,12,ppo_medical,12,0,0,12,0,Preventive Care Services
Diaphragms (when performed in the physician’s office),exact,2,12,12,ppo_medical,12,0,0,12,0,Preventive Care Services
Not listed in this certificate or,exact,2,12,12,ppo_medical,0,12,0,12,0,Contraceptive Services | Preventive Care Services
Not required to be covered under PPACA,exact,2,12,12,ppo_medical,0,12,0,12,0,Contraceptive Services | Preventive Care Services
"When services of interns, residents or other physicians employed by the hospital are available at the time of surgery or",exact,2,12,12,ppo_medical,0,12,0,0,12,Surgery
When services are provided in a location other than a hospital or ambulatory surgery facility,exact,2,12,12,ppo_medical,0,12,0,0,12,Surgery
The appropriateness of the drug for your condition,exact,2,12,12,ppo_medical,12,0,0,12,0,Value Based Programs
The correct dosage,exact,2,12,12,ppo_medical,12,0,0,12,0,Value Based Programs
When to take the drug,exact,2,12,12,ppo_medical,12,0,0,0,12,Value Based Programs
Accredited Hospital,exact,3,12,12,ppo_medical,0,0,12,0,12,
Licensed Behavior Analyst,exact,3,12,12,ppo_medical,0,0,12,0,12,
Autism Evaluation Center,exact,3,12,12,ppo_medical,0,0,12,0,12,
Bite Splint,exact,3,12,12,ppo_medical,0,0,12,12,0,Dental Services
Contraceptive Medication,exact,3,12,12,ppo_medical,0,0,12,0,12,
Cost Sharing,exact,3,11,11,"dental,ppo_medical,vision",0,0,11,0,11,
Covered Services,exact,3,11,11,"dental,ppo_medical,vision",0,0,11,4,7,Audiologist Services
"A specialist office, home, virtual or outpatient visit",exact,2,11,11,"csr_rider,ppo_medical",11,0,0,11,0,BCBSM PPO In-Network Providers | Copayment Requirements
An office consultation with a specialist,exact,2,11,11,"csr_rider,ppo_medical",11,0,0,11,0,BCBSM PPO In-Network Providers | Copayment Requirements
A pre-surgical consultation with a specialist,exact,2,11,11,"csr_rider,ppo_medical",11,0,0,11,0,BCBSM PPO In-Network Providers | Copayment Requirements
Autism spectrum disorder services (including ABA) when performed by a participating LBA or other provider acting within their scope of practice.,exact,2,11,11,ppo_medical,11,0,0,0,11,Autism Spectrum Disorders
Outpatient mental health therapy,exact,2,11,11,ppo_medical,11,0,0,11,0,Autism Spectrum Disorders
Room and board,exact,2,11,11,ppo_medical,11,0,0,11,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
General nursing services,exact,2,11,11,ppo_medical,11,0,0,11,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Drugs, biologicals and solutions used in the facility",exact,2,11,11,ppo_medical,11,0,0,11,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Outpatient substance use disorder services for the treatment of tobacco dependence,exact,2,11,11,ppo_medical,11,0,0,0,11,Behavioral Health Services (Mental Health and Substance Use Disorder)
Medically necessary professional and facility services for the treatment of gender dysphoria.,exact,2,11,11,ppo_medical,11,0,0,0,11,Gender Affirming Services
"Physical therapy, speech language therapy, and occupational therapy when provided to control symptoms and maintain the member’s daily activities and basic functional skills",exact,2,11,11,ppo_medical,11,0,0,0,11,Hospice Care Services
Preventive drugs,exact,2,11,11,ppo_medical,11,0,0,11,0,Prescription Drugs
Select immunization vaccines,exact,2,11,11,ppo_medical,11,0,0,11,0,Prescription Drugs
Supplements,exact,2,11,11,ppo_medical,11,0,0,11,0,Prescription Drugs
Vitamins,exact,2,11,11,ppo_medical,11,0,0,11,0,Prescription Drugs
Dispensed by an in-network pharmacy and,exact,2,11,11,ppo_medical,11,0,0,0,11,Prescription Drugs
"Approved by the FDA, when FDA approval is available and",exact,2,11,11,ppo_medical,11,0,0,0,11,Prescription Drugs
Meet coverage criteria required under the Patient Protection and Affordable Care Act.,exact,2,11,11,ppo_medical,11,0,0,0,11,Prescription Drugs
"If an in-network provider does a covered preventive test, and a Michigan out-of-network provider reads and interprets the test results, we will pay the claim from the Michigan out-of-network provider as if it were an in-network claim. You will not have to pay your out-of-network cost share for this claim. You will pay out-of-network cost share if an out-of-state out-of-network provider read and the interprets the test results.",exact,2,11,11,ppo_medical,11,0,0,0,11,Preventive Care Services
Fecal Occult Blood Screening,exact,2,11,10,ppo_medical,11,0,0,11,0,Preventive Care Services
Routine Laboratory Services,exact,2,11,11,ppo_medical,11,0,0,11,0,Preventive Care Services
"Contraceptive Devices Injections, and Implants",exact,2,11,11,ppo_medical,11,0,0,11,0,Preventive Care Services
X-rays,exact,2,11,11,ppo_medical,11,0,0,11,0,Radiology Services
Radioactive isotope studies and use of radium,exact,2,11,11,ppo_medical,11,0,0,11,0,Radiology Services
Ultrasound,exact,2,11,11,ppo_medical,11,0,0,11,0,Radiology Services
Computerized axial tomography (CAT) scans,exact,2,11,11,ppo_medical,11,0,0,11,0,Radiology Services
Magnetic resonance imaging (MRI),exact,2,11,11,ppo_medical,11,0,0,11,0,Radiology Services
Positron emission tomography (PET) scans,exact,2,11,11,ppo_medical,11,0,0,11,0,Radiology Services
Medically necessary mammography,exact,2,11,11,ppo_medical,11,0,0,11,0,Radiology Services
Blood tests on first degree relatives to evaluate them as donors,exact,2,11,11,ppo_medical,11,0,0,0,11,Transplant Services
Allogeneic (Allogenic) Transplant,exact,3,11,11,ppo_medical,0,0,11,0,11,
Contracted Area Hospital,exact,3,11,11,ppo_medical,0,0,11,0,11,
Certified to receive Medicare or Medicaid reimbursement or,exact,2,11,11,ppo_medical,11,0,0,11,0,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
Certified by the Michigan Department of Community Health,exact,2,11,11,ppo_medical,11,0,0,11,0,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
Covered services and devices for pain management,exact,2,11,11,ppo_medical,11,0,0,11,0,Pain Management
Administered by the physician or under the physician’s supervision.,exact,2,11,11,ppo_medical,11,0,0,0,11,Prescription Drugs
Coordination of Benefits,exact,3,10,10,"dental,ppo_medical,vision",0,0,10,0,10,
More than 30 visits a year for combined outpatient cardiac and pulmonary rehabilitation services,exact,2,10,10,ppo_medical,0,10,0,0,10,Cardiac Rehabilitation
Services in a participating LTACH that we would pay for in a participating hospital.,exact,2,10,10,ppo_medical,10,0,0,0,10,Long-Term Acute Care Hospital Services
"Prenatal care , including maternity education provided in a physician’s office as part of a pre - natal visit",exact,2,10,10,ppo_medical,10,0,0,0,10,Maternity Care
Payment for non-covered drugs or services.,exact,2,10,4,ppo_medical,0,10,0,0,10,Prescription Drugs
Routine Pap Smear,exact,2,10,10,ppo_medical,10,0,0,10,0,Preventive Care Services
Screening Mammography,exact,2,10,10,ppo_medical,10,0,0,10,0,Preventive Care Services
We follow PPACA guidelines consistent with the HRSA- Supported Women’s Preventive,exact,2,10,10,ppo_medical,10,0,0,0,10,Preventive Care Services
Well-Baby and Well-Child Visits,exact,2,10,10,ppo_medical,10,0,0,10,0,Preventive Care Services
"For a member with a BMI of 30 or above, we pay for 26 visits per member per calendar year.",exact,2,10,10,ppo_medical,10,0,0,0,10,Preventive Care Services
"Radiology services performed on equipment owned by, and performed on the premises of, the facility that are necessary to enhance the surgical service",exact,2,10,10,ppo_medical,10,0,0,0,10,Surgery
"Consultations, Inpatient or Outpatient",exact,3,10,10,ppo_medical,0,0,10,10,0,Contraceptive Services | Preventive Care Services
Conventional Treatment,exact,3,10,10,ppo_medical,0,0,10,0,10,
A physician who orders and supervises anesthesiology services,exact,2,10,10,ppo_medical,10,0,0,10,0,Anesthesiology Services
A certified registered nurse anesthetist (CRNA),exact,2,10,10,ppo_medical,10,0,0,10,0,Anesthesiology Services
Autism spectrum disorder services including applied behavior analysis (ABA) is covered subject to the following requirements,exact,2,10,10,ppo_medical,10,0,0,0,10,Autism Spectrum Disorders
Continuous cycling peritoneal dialysis (limited to 14 dialysis treatments per month) and self- dialysis training with the number of training sessions limited according to Medicare guidelines,exact,2,10,10,ppo_medical,10,0,0,0,10,Dialysis Services
The member's family cannot provide the services and the home health care agency has identified a need for these services for the member to participate in the program,exact,2,10,10,ppo_medical,10,0,0,0,10,Home Health Care Services
The services are provided by a home health aide and supervised by a registered nurse employed by the agency,exact,2,10,10,ppo_medical,10,0,0,0,10,Home Health Care Services
A participating hospice inpatient unit,exact,2,10,10,ppo_medical,10,0,0,10,0,Hospice Care Services
A participating hospital contracting with the hospice program or,exact,2,10,10,ppo_medical,10,0,0,10,0,Hospice Care Services
A participating skilled nursing facility contracting with the hospice program,exact,2,10,10,ppo_medical,10,0,0,10,0,Hospice Care Services
Payment for noncovered specialty drugs or services,exact,2,10,7,ppo_medical,0,10,0,0,10,Prescription Drugs
A retail health clinic visit,exact,2,9,9,"csr_rider,ppo_medical",9,0,0,9,0,BCBSM PPO In-Network Providers | Copayment Requirements
A virtual primary care visit through the Blue Cross selected vendor app,exact,2,9,9,"csr_rider,ppo_medical",9,0,0,0,9,BCBSM PPO In-Network Providers | Copayment Requirements
An office consultation,exact,2,9,9,"csr_rider,ppo_medical",9,0,0,9,0,BCBSM PPO In-Network Providers | Copayment Requirements
A pre-surgical consultation,exact,2,9,9,"csr_rider,ppo_medical",9,0,0,9,0,BCBSM PPO In-Network Providers | Copayment Requirements
A medical evaluation at an affiliated immunization pharmacy,exact,2,9,9,"csr_rider,ppo_medical",9,0,0,9,0,BCBSM PPO In-Network Providers | Copayment Requirements
Assessments,exact,2,9,9,ppo_medical,9,0,0,9,0,Autism Spectrum Disorders
"Evaluations or tests, including the Autism Diagnostic Observation Schedule",exact,2,9,9,ppo_medical,9,0,0,9,0,Autism Spectrum Disorders
Transplants or related services rendered at a nondesignated cancer center or its affiliate,exact,2,9,9,ppo_medical,0,9,0,0,9,Oncology Clinical Trials
Billed by a contracted specialty pharmacy provider and administered by a physician.,exact,2,9,9,ppo_medical,9,0,0,0,9,Prescription Drugs
"One per member, per calendar year to detect blood in the feces or stool",exact,2,9,8,ppo_medical,9,0,0,0,9,Preventive Care Services
Housekeeping items and services,exact,2,9,9,ppo_medical,9,0,0,9,0,Surgery
EKGs,exact,2,9,9,ppo_medical,9,0,0,9,0,Surgery
Transplant surgery and related services performed in a non-designated facility,exact,2,9,9,ppo_medical,0,9,0,9,0,Transplant Services
Autism Behavioral Health Treatment,exact,3,9,9,ppo_medical,0,0,9,0,9,
Autism Diagnostic Observation Schedule,exact,3,9,9,ppo_medical,0,0,9,0,9,
Chemotherapy for Bone Marrow Transplants,exact,3,9,9,ppo_medical,0,0,9,9,0,Transplant Services
Chemotherapy for Oncology Clinical Trials,exact,3,9,9,ppo_medical,0,0,9,9,0,Oncology Clinical Trials
Chemotherapy Infusion Pumps,exact,3,9,9,ppo_medical,0,0,9,9,0,Cardiac Rehabilitation
Continuous Positive Airway Pressure (CPAP),exact,3,9,9,ppo_medical,0,0,9,9,0,Durable Medical Equipment
Coordination Period,exact,3,9,9,ppo_medical,0,0,9,0,9,
A physician other than the operating physician,exact,2,9,9,ppo_medical,9,0,0,9,0,Anesthesiology Services
Medical care by hospital personnel while you are receiving inpatient services,exact,2,9,9,ppo_medical,9,0,0,0,9,Hospital Services
Semiprivate room,exact,2,9,9,ppo_medical,9,0,0,9,0,Hospital Services
Nursing services,exact,2,9,9,ppo_medical,9,0,0,9,0,Hospital Services
"Meals, including special diets",exact,2,9,9,ppo_medical,9,0,0,9,0,Hospital Services
"Services provided in a special care unit, such as intensive care",exact,2,9,9,ppo_medical,9,0,0,0,9,Hospital Services
Oxygen and other therapeutic gases and their administration,exact,2,9,9,ppo_medical,9,0,0,9,0,Hospital Services
Inhalation therapy,exact,2,9,9,ppo_medical,9,0,0,9,0,Hospital Services
Electroconvulsive Treatment (ECT),exact,2,9,9,ppo_medical,9,0,0,9,0,Hospital Services
Pulmonary function evaluation,exact,2,9,9,ppo_medical,9,0,0,9,0,Hospital Services
"Whole blood, blood derivatives, blood plasma or packed red blood cells, supplies and their administration",exact,2,9,9,ppo_medical,9,0,0,0,9,Hospital Services
